id,name,link,attribution,notes
1,ESRI Satelite,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
2,ESRI Street,https://server.arcgisonline.com/ArcGIS/rest/services/World_Street_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
3,ESRI Topo,https://server.arcgisonline.com/ArcGIS/rest/services/World_Topo_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
4,ESRI NatGeo,https://services.arcgisonline.com/ArcGIS/rest/services/NatGeo_World_Map/MapServer/tile/{Z}/{Y}/{X},https://www.esri.com ,
5,ESRI World Dark Gray,https://server.arcgisonline.com/arcgis/rest/services/Canvas/World_Dark_Gray_Base/MapServer/tile/{z}/{y}/{x},https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
6,Google Satellite,https://mt1.google.com/vt/lyrs=s&x={x}&y={y}&z={z},https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
7,Google Streets,https://mt1.google.com/vt/lyrs=m&x={x}&y={y}&z={z},https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
8,OSM,http://tile.openstreetmap.org/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
9,OSM Cycle Map,http://tile.thunderforest.com/cycle/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,need API
10,OSM Black & White,http://tiles.wmflabs.org/bw-mapnik/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
11,Carto Positron,https://cartodb-basemaps-a.global.ssl.fastly.net/light_all/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
12,Stamen Terrain,http://a.tile.stamen.com/terrain/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
13,Stamen Watercolor,http://a.tile.stamen.com/watercolor/{Z}/{X}/{Y}.jpg,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
14,Stamen Watercolor,http://a.tile.stamen.com/watercolor/{Z}/{X}/{Y}.jpg,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
15,Open Topo Map,https://tile.opentopomap.org/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,need API
16,ThunderForest,https://tile.thunderforest.com/landscape/{z}/{x}/{y}.png,https://github.com/openplanetary/opm/wiki/OPM-Basemaps,
17,CARTO Base Antique,https://cartocdn_a.global.ssl.fastly.net/base-antique/{z}/{x}/{y}.png,https://carto.com,
18,CARTO Base Eco,https://cartocdn_a.global.ssl.fastly.net/base-eco/{z}/{x}/{y}.png,https://carto.com,
19,CARTO Base Flat Blue,https://cartocdn_a.global.ssl.fastly.net/base-flatblue/{z}/{x}/{y}.png,https://carto.com,
20,CARTO Base Midnight,https://cartocdn_a.global.ssl.fastly.net/base-midnight/{z}/{x}/{y}.png,https://carto.com,
21,ESRI DeLorme,https://server.arcgisonline.com/arcgis/rest/services/Specialty/DeLorme_World_Base_Map/MapServer/tile/{z}/{y}/{x},https://www.esri.com ,
22,Google,https://mt1.google.com/vt/lyrs=r&x={x}&y={y}&z={z},https://www.google.com/maps/,
23,sss,https://www.ngi.be/tiles/arcgis/rest/services/seamless_carto__default__3857__140/MapServer/tile/{z}/{y}/{x},https://carto.com,
24,,,https://carto.com,
25,,,https://carto.com,
26,,,https://carto.com,
